이미지,bbox면적(%),예측신뢰도,최고IoU,원인
00032.jpg,0.20051946179999997,0.0,0.0,미검출
00048.jpg,0.8750025,0.0,0.0,미검출
00152.jpg,0.1302075,0.0,0.0,미검출
00176.jpg,0.38726133679999997,0.0,0.0,미검출
00199.jpg,0.39148928819999995,0.21306104958057404,0.9174432017986929,낮은 신뢰도
00272.jpg,1.2545648264,0.0,0.0,미검출
00312.jpg,7.501938749999999,0.037875063717365265,0.5051579164920189,낮은 신뢰도
00351.jpg,0.9520437066,0.0,0.0,미검출
00494.jpg,0.0274890625,0.030382519587874413,0.3937226831986785,위치 부정확
00498.jpg,0.027778124999999997,0.03235989436507225,0.6179578727448495,낮은 신뢰도
00597.jpg,0.0091627064,0.3066987693309784,0.28969433251659715,위치 부정확
00637.jpg,0.19810976080000003,0.1946263611316681,0.8660279298107056,낮은 신뢰도
00640.jpg,0.056713124999999996,0.016546936705708504,0.5689614738029037,낮은 신뢰도
00703.jpg,0.050347499999999996,0.22518450021743774,0.41812141407534065,위치 부정확
00720.jpg,0.0897956385,0.0,0.0,미검출
00741.jpg,0.0339034703,0.016064848750829697,0.5268428853217658,낮은 신뢰도
00920.jpg,0.0564246412,0.0,0.0,미검출
01080.jpg,3.2796276302000003,0.6185998320579529,0.39683416348503847,위치 부정확
01092.jpg,0.6940028645999999,0.7333874106407166,0.33180217438819687,위치 부정확
01097.jpg,24.636298749999998,0.0,0.0,미검출
01129.jpg,8.277360000000002,0.05992051959037781,0.12711499918384409,위치 부정확
01206.jpg,0.07053079860000001,0.8082281947135925,0.28813527573744924,위치 부정확
01219.jpg,19.1406,0.15036658942699432,0.6141930163055558,낮은 신뢰도
01274.jpg,18.3185555382,0.144771009683609,0.5427441165717888,낮은 신뢰도
01315.jpg,0.5471976736,0.8565170168876648,0.4972798711863637,위치 부정확
01327.jpg,0.0214854514,0.0219618771225214,0.38637704394700806,위치 부정확
01411.jpg,4.0026096875,0.3928373456001282,0.36368521451186364,위치 부정확
01472.jpg,0.38281500000000007,0.1539909541606903,0.9030242731209807,낮은 신뢰도
01613.jpg,0.0274890625,0.030382519587874413,0.3937226831986785,위치 부정확
01633.jpg,0.0897,0.0,0.0,미검출
01683.jpg,0.045572847199999995,0.7131640315055847,0.4408349281825847,위치 부정확
01797.jpg,0.19810976080000003,0.1946263611316681,0.8660279298107056,낮은 신뢰도
01871.jpg,0.026619733799999996,0.8703555464744568,0.49118558238636123,위치 부정확
01885.jpg,0.050347499999999996,0.22518450021743774,0.41812141407534065,위치 부정확
01902.jpg,0.0117186979,0.0,0.0,미검출
01955.jpg,0.3399405054,0.10236688703298569,0.9246285716988998,낮은 신뢰도
02085.jpg,0.024305624999999997,0.0,0.0,미검출
02113.jpg,0.12827747299999998,0.7565805315971375,0.3887938168159916,위치 부정확
02114.jpg,0.094137473,0.054536670446395874,0.6132884150371436,낮은 신뢰도
02119.jpg,0.1639665027,0.0,0.0,미검출
02123.jpg,0.0815958507,0.05836501717567444,0.41360284037689027,위치 부정확
02188.jpg,0.032070279699999996,0.0,0.0,미검출
