이미지,bbox면적(%),예측신뢰도,최고IoU,원인
00048.jpg,0.8750025,0.1270589828491211,0.7291024685558065,낮은 신뢰도
00114.jpg,0.5649926736,0.10768391191959381,0.9370852942333773,낮은 신뢰도
00142.jpg,1.7576033507,0.0,0.0,미검출
00152.jpg,0.1302075,0.0,0.0,미검출
00155.jpg,5.135410625,0.06638743728399277,0.5274933454005813,낮은 신뢰도
00171.jpg,0.3394103125,0.19956813752651215,0.8633874911924058,낮은 신뢰도
00175.jpg,0.67383125,0.08877422660589218,0.7024665398427569,낮은 신뢰도
00199.jpg,0.39148928819999995,0.28230980038642883,0.03423692619092902,미검출
00218.jpg,0.062068402800000005,0.07491382956504822,0.6755566224200007,낮은 신뢰도
00312.jpg,7.501938749999999,0.0,0.0,미검출
00351.jpg,0.9520437066,0.0,0.0,미검출
00417.jpg,0.3015989892,0.10862651467323303,0.8799892033075095,낮은 신뢰도
00452.jpg,0.0518422608,0.0,0.0,미검출
00481.jpg,0.02083375,0.7356612682342529,0.4585055601761833,위치 부정확
00488.jpg,0.0043882851,0.7196447849273682,0.4764055622009391,위치 부정확
00489.jpg,0.0040506249999999995,0.6530386805534363,0.4863637498153273,위치 부정확
00494.jpg,0.0274890625,0.014880046248435974,0.2842893048709758,위치 부정확
00498.jpg,0.027778124999999997,0.0,0.0,미검출
00547.jpg,0.0566639892,0.0,0.0,미검출
00597.jpg,0.0091627064,0.0,0.0,미검출
00619.jpg,0.0564246412,0.7212073802947998,0.46236558982133724,위치 부정확
00640.jpg,0.056713124999999996,0.12853431701660156,0.5302295866893476,낮은 신뢰도
00689.jpg,0.022955100300000003,0.1084611564874649,0.8166865693217507,낮은 신뢰도
00703.jpg,0.050347499999999996,0.0,0.0,미검출
00715.jpg,0.018036037799999998,0.7940987944602966,0.44654516410323264,위치 부정확
00720.jpg,0.0897956385,0.0,0.0,미검출
00741.jpg,0.0339034703,0.0,0.0,미검출
00920.jpg,0.0564246412,0.0,0.0,미검출
01019.jpg,0.3793409375,0.0,0.0,미검출
01077.jpg,6.2462006684,0.4710162878036499,0.32731916530011923,위치 부정확
01092.jpg,0.6940028645999999,0.2345646470785141,0.5549523431826338,낮은 신뢰도
01118.jpg,0.4105864757,0.013030911795794964,0.8624633667382576,낮은 신뢰도
01129.jpg,8.277360000000002,0.02877495065331459,0.15760127385413544,위치 부정확
01186.jpg,1.1132885764,0.1261211782693863,0.603418992505676,낮은 신뢰도
01206.jpg,0.07053079860000001,0.45899030566215515,0.39217494204153,위치 부정확
01219.jpg,19.1406,0.01322335097938776,0.6906139844859829,낮은 신뢰도
01273.jpg,7.515625000000001,0.019424792379140854,0.8452897535629131,낮은 신뢰도
01327.jpg,0.0214854514,0.7188187837600708,0.3033845842247743,위치 부정확
01339.jpg,0.01953125,0.22220180928707123,0.6156190467764446,낮은 신뢰도
01411.jpg,4.0026096875,0.8873832821846008,0.40757056366439753,위치 부정확
01427.jpg,15.4934964236,0.0,0.0,미검출
01591.jpg,0.008680486099999999,0.725334107875824,0.488360337794172,위치 부정확
01596.jpg,0.02083375,0.7356612682342529,0.4585055601761833,위치 부정확
01606.jpg,0.0040506249999999995,0.6530386805534363,0.4863637498153273,위치 부정확
01613.jpg,0.0274890625,0.014880046248435974,0.2842893048709758,위치 부정확
01633.jpg,0.0897,0.0322575569152832,0.8736418922014942,낮은 신뢰도
01683.jpg,0.045572847199999995,0.7972964644432068,0.26247843767103207,위치 부정확
01691.jpg,0.0156733777,0.04098721966147423,0.5468495657193972,낮은 신뢰도
01695.jpg,0.024594641200000003,0.603006899356842,0.4886827073064365,위치 부정확
01752.jpg,0.023872413199999998,0.0,0.0,미검출
01871.jpg,0.026619733799999996,0.03323405236005783,0.49420563952387625,위치 부정확
01885.jpg,0.050347499999999996,0.0,0.0,미검출
01889.jpg,0.0472605054,0.07081908732652664,0.6822860628364836,낮은 신뢰도
01902.jpg,0.0117186979,0.05903714522719383,0.3965656028810116,위치 부정확
01929.jpg,0.07176,0.03530139476060867,0.4334136854372855,위치 부정확
02026.jpg,0.022569375,0.01515152771025896,0.642155016642892,낮은 신뢰도
02053.jpg,0.0091627064,0.06283855438232422,0.6592268636187939,낮은 신뢰도
02085.jpg,0.024305624999999997,0.0,0.0,미검출
02113.jpg,0.12827747299999998,0.17172491550445557,0.2350932670875185,위치 부정확
02114.jpg,0.094137473,0.12219906598329544,0.6469006925352738,낮은 신뢰도
02119.jpg,0.1639665027,0.0,0.0,미검출
02123.jpg,0.0815958507,0.0,0.0,미검출
02151.jpg,0.0162031713,0.03020181879401207,0.8590028037929487,낮은 신뢰도
