epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,204.522,1.67412,8.52836,0.00334,0.78296,0.62557,0.71077,0.36938,1.68925,2.48382,0.00495,0.00066055,0.00066055,0.00066055
2,382.872,1.81593,1.7351,0.00421,0.81159,0.60502,0.66205,0.37375,1.65098,1.83497,0.00517,0.00131408,0.00131408,0.00131408
3,561.48,1.89892,1.4626,0.00445,0.82695,0.65461,0.73364,0.3505,1.92188,1.58034,0.00609,0.0019544,0.0019544,0.0019544
4,739.146,1.96252,1.41699,0.00506,0.76968,0.64852,0.71992,0.39953,1.76132,1.47577,0.00598,0.0019406,0.0019406,0.0019406
5,916.897,1.91406,1.25085,0.00446,0.88465,0.71233,0.80227,0.44478,1.68216,1.12625,0.00542,0.0019208,0.0019208,0.0019208
6,1094.56,1.86567,1.16502,0.00428,0.87357,0.7089,0.79948,0.43096,1.77518,1.09405,0.00587,0.001901,0.001901,0.001901
7,1272.18,1.83686,1.14594,0.00439,0.89338,0.72489,0.80419,0.43273,1.77167,1.07149,0.00565,0.0018812,0.0018812,0.0018812
8,1449.82,1.7879,1.13475,0.00427,0.90753,0.75066,0.83001,0.46048,1.667,0.98936,0.00498,0.0018614,0.0018614,0.0018614
9,1627.55,1.7468,1.10922,0.00419,0.89625,0.78196,0.85764,0.46912,1.7011,0.97632,0.00511,0.0018416,0.0018416,0.0018416
10,1805.26,1.751,1.05509,0.00395,0.89309,0.77283,0.84859,0.48207,1.63813,0.94949,0.00496,0.0018218,0.0018218,0.0018218
11,1982.9,1.70136,1.03678,0.00373,0.89119,0.77511,0.84913,0.49324,1.58752,0.95513,0.00499,0.001802,0.001802,0.001802
12,2160.52,1.71194,1.05041,0.00379,0.90648,0.75,0.84927,0.47578,1.67325,0.95573,0.00479,0.0017822,0.0017822,0.0017822
13,2338.19,1.65688,0.94496,0.00387,0.93988,0.71575,0.82341,0.49406,1.57179,1.04188,0.00478,0.0017624,0.0017624,0.0017624
14,2515.88,1.66617,0.93481,0.00394,0.92226,0.78196,0.87248,0.52687,1.5041,0.86129,0.00469,0.0017426,0.0017426,0.0017426
15,2694.02,1.62553,0.94018,0.00366,0.9099,0.80251,0.86786,0.51805,1.53048,0.84151,0.00475,0.0017228,0.0017228,0.0017228
16,2871.59,1.65328,0.87178,0.00378,0.89364,0.79795,0.86649,0.48262,1.66798,0.88601,0.00516,0.001703,0.001703,0.001703
17,3049.2,1.64222,0.90621,0.00366,0.91361,0.80594,0.88205,0.52303,1.57461,0.79227,0.005,0.0016832,0.0016832,0.0016832
18,3226.74,1.55782,0.81184,0.00357,0.93429,0.82779,0.90591,0.53918,1.52822,0.76743,0.00443,0.0016634,0.0016634,0.0016634
19,3404.57,1.55882,0.77886,0.00332,0.91472,0.83333,0.89013,0.54657,1.48468,0.76049,0.0045,0.0016436,0.0016436,0.0016436
20,3583.43,1.56143,0.81433,0.0036,0.9207,0.80137,0.87732,0.55081,1.43439,0.78689,0.00498,0.0016238,0.0016238,0.0016238
21,3761.46,1.59107,0.78954,0.00351,0.91791,0.82974,0.90087,0.54534,1.49769,0.73888,0.00441,0.001604,0.001604,0.001604
22,3939.49,1.54823,0.82382,0.00345,0.90995,0.83058,0.89184,0.56011,1.45195,0.71717,0.00448,0.0015842,0.0015842,0.0015842
23,4117.53,1.54664,0.73461,0.0032,0.91832,0.83333,0.8944,0.56087,1.41619,0.73752,0.00393,0.0015644,0.0015644,0.0015644
